,City,Year,Company,Model,Variant,KM_Driven,No._of_Owners,Fuel_Type,Calculated_Score,Original_Price,Discount,On_Road_Price,Ex_Showroom_Price
1867,Mumbai,2012,MARUTI,RITZ,VXI,77919,2,Petrol,181000,236099,21150,214949,201051
1868,Mumbai,2012,TOYOTA,COROLLA ALTIS,J,99843,2,Petrol,520000,343499,0,343499,331311
1869,Mumbai,2010,HONDA,JAZZ,1.2 BASE I VTEC,45695,1,Petrol,72000,282299,32350,249949,236051
1870,Mumbai,2012,MARUTI,SWIFT,VXI,35757,3,Petrol,181000,319499,0,319499,309811
1871,Mumbai,2019,MARUTI,SWIFT,VXI,16515,2,Petrol,367000,643999,35300,608699,594801
1872,Mumbai,2013,MARUTI,SWIFT,VXI,37591,1,Petrol,181000,419299,6650,412649,402961
1873,Mumbai,2012,MARUTI,SWIFT,VXI,38624,1,Petrol,181000,356599,28900,327699,313801
1874,Mumbai,2012,MARUTI,SWIFT,ZXI,48307,1,Petrol + CNG,181000,443899,6700,437199,427511
1875,Mumbai,2012,MARUTI,SWIFT,ZXI,45517,1,Petrol,181000,421199,27700,393499,379601
1876,Mumbai,2020,MARUTI,NEW  WAGON-R,1.0 Lxi (o) cng,19063,1,Petrol + CNG,474000,593299,0,593299,581111
1877,Mumbai,2019,MARUTI,SWIFT,ZXI,30237,1,Petrol,507000,683699,49400,634299,624611
1878,Mumbai,2013,MARUTI,SWIFT DZIRE,VXI,46227,1,Petrol,181000,459399,23900,435499,425811
1879,Mumbai,2017,MARUTI,ALTO 800,LXI,3560,1,Petrol,181000,302899,0,302899,290357
1880,Mumbai,2022,RENAULT,KWID,CLIMBER 1.0,229,1,Petrol,474000,573499,7600,565899,556211
1881,Mumbai,2016,DATSUN,REDI GO,T (O),56054,1,Petrol,181000,208299,16500,191799,182111
1882,Mumbai,2012,HONDA,BRIO,1.2 S MT I VTEC,34456,2,Petrol,140000,301799,18100,283699,269801
1883,Mumbai,2012,MARUTI,SWIFT,VXI,74741,1,Petrol,181000,356499,0,356499,342601
1884,Mumbai,2022,HYUNDAI,AURA,S CNG,12664,1,Petrol + CNG,715000,906099,17200,888899,876711
