,Name,Company,City,Year,KM_Driven,No._of_Owners,Fuel_Type,Calculated_Score,On_Road_Price
1613,MARUTIALTO,MARUTI,New Delhi,2020,39974,1,Petrol + CNG,507000,402699
1614,MARUTIALTO K10,MARUTI,New Delhi,2017,22714,1,Petrol,169000,355999
1615,HYUNDAIELITE I20,HYUNDAI,Gurgaon,2017,15972,2,Petrol,370000,708699
1616,MAHINDRASCORPIO,MAHINDRA,Gurgaon,2015,44092,1,Diesel,181000,920499
1617,RENAULTDUSTER,RENAULT,New Delhi,2015,55669,1,Diesel,181000,421799
1618,MARUTIVITARA BREZZA,MARUTI,Gurgaon,2019,51808,1,Diesel,715000,870199
1619,MARUTIALTO K10,MARUTI,Noida,2019,34538,1,Petrol,507000,398549
1620,MARUTIS PRESSO,MARUTI,New Delhi,2021,9486,1,Petrol,367000,458399
1621,MARUTIVITARA BREZZA,MARUTI,Noida,2019,56490,1,Diesel,715000,839849
1622,MARUTIALTO K10,MARUTI,Gurgaon,2018,37134,1,Petrol,169000,361199
1623,TATANEXON,TATA,New Delhi,2019,93992,1,Diesel,507000,658799
1624,MARUTISWIFT,MARUTI,Gurgaon,2018,39759,2,Petrol,169000,504549
1625,FORDECOSPORT,FORD,New Delhi,2017,48593,1,Petrol,169000,675099
1626,MARUTIS CROSS,MARUTI,New Delhi,2018,13730,1,Diesel,169000,1115299
1627,FORDFREESTYLE,FORD,New Delhi,2018,31031,1,Petrol,169000,491199
1628,FORDECOSPORT,FORD,Gurgaon,2017,53447,1,Petrol,507000,686899
1629,MARUTIS PRESSO,MARUTI,New Delhi,2020,23738,1,Petrol,507000,482499
1630,SKODARAPID,SKODA,New Delhi,2021,9999,1,Petrol,474000,1114999
1631,HYUNDAII20 ACTIVE,HYUNDAI,Ghaziabad,2015,94499,2,Petrol + CNG,102000,501299
1632,FORDECOSPORT,FORD,Noida,2021,23007,1,Diesel,715000,1067999
1633,MARUTIS CROSS,MARUTI,New Delhi,2018,22938,1,Diesel,169000,824299
